Marker	Genotype	Morex	Steptoe
chs1b	dh073	1	0
chs1b	dh074	1	0
chs1b	dh075	1	0
chs1b	dh076	0	1
chs1b	dh077	1	0
chs1b	dh078	0	1
chs1b	dh079	0	1
chs1b	dh080	1	0
chs1b	dh081	1	0
chs1b	dh082	0	1
chs1b	dh083	1	0
chs1b	dh084	0	1
chs1b	dh085	1	0
chs1b	dh086	1	0
chs1b	dh087	0	1
chs1b	dh088	1	0
chs1b	dh089	1	0
chs1b	dh090	0	1
chs1b	dh091	1	0
chs1b	dh092	1	0
chs1b	dh093	1	0
chs1b	dh094	1	0
chs1b	dh095	0	1
chs1b	dh096	1	0
chs1b	dh097	1	0
chs1b	dh098	0	1
chs1b	dh099	0	1
chs1b	dh100	0	1
chs1b	dh101	1	0
chs1b	dh102	0	1
chs1b	dh103	0	1
chs1b	dh104	0	1
chs1b	dh105	0	1
chs1b	dh106	1	0
chs1b	dh107	0	1
chs1b	dh108	1	0
chs1b	dh109	0	1
chs1b	dh110	0.590826	0.409174
chs1b	dh111	1	0
chs1b	dh112	0	1
chs1b	dh113	0	1
chs1b	dh114	1	0
chs1b	dh115	1	0
chs1b	dh116	0	1
chs1b	dh117	0	1
chs1b	dh118	0	1
chs1b	dh119	1	0
chs1b	dh120	1	0
chs1b	dh121	1	0
chs1b	dh122	0	1
chs1b	dh123	0	1
chs1b	dh124	1	0
chs1b	dh125	0	1
chs1b	dh126	1	0
chs1b	dh127	0	1
chs1b	dh128	0	1
chs1b	dh129	0	1
chs1b	dh130	0	1
chs1b	dh131	1	0
chs1b	dh132	1	0
chs1b	dh133	0	1
chs1b	dh134	1	0
chs1b	dh135	1	0
chs1b	dh136	0	1
chs1b	dh137	1	0
chs1b	dh138	1	0
chs1b	dh139	1	0
chs1b	dh140	0	1
chs1b	dh141	1	0
chs1b	dh142	1	0
chs1b	dh143	0	1
chs1b	dh144	1	0
chs1b	dh145	1	0
chs1b	dh146	0	1
chs1b	dh147	0	1
chs1b	dh148	0	1
chs1b	dh149	1	0
chs1b	dh150	1	0
rbcs	dh001	0	1
rbcs	dh002	1	0
rbcs	dh003	1	0
rbcs	dh004	0	1
rbcs	dh005	1	0
rbcs	dh006	0	1
rbcs	dh007	1	0
rbcs	dh008	1	0
rbcs	dh009	0	1
rbcs	dh010	0	1
rbcs	dh011	0	1
rbcs	dh012	1	0
rbcs	dh013	0	1
rbcs	dh014	0	1
rbcs	dh015	1	0
rbcs	dh016	0	1
rbcs	dh017	0	1
rbcs	dh018	1	0
rbcs	dh019	0	1
rbcs	dh020	0	1
rbcs	dh021	1	0
rbcs	dh022	1	0
rbcs	dh023	0	1
rbcs	dh024	0	1
rbcs	dh025	0	1
rbcs	dh026	0	1
rbcs	dh027	0	1
rbcs	dh028	1	0
rbcs	dh029	0	1
rbcs	dh030	1	0
rbcs	dh031	0	1
rbcs	dh032	0	1
rbcs	dh033	0	1
rbcs	dh034	1	0
rbcs	dh035	1	0
rbcs	dh036	1	0
rbcs	dh037	1	0
rbcs	dh038	1	0
rbcs	dh039	0	1
rbcs	dh040	0	1
rbcs	dh041	0	1
rbcs	dh042	0	1
rbcs	dh043	0	1
rbcs	dh044	0	1
rbcs	dh045	1	0
rbcs	dh046	1	0
rbcs	dh047	0	1
rbcs	dh048	1	0
rbcs	dh049	0	1
rbcs	dh050	0	1
rbcs	dh051	1	0
rbcs	dh052	1	0
rbcs	dh053	1	0
rbcs	dh054	1	0
rbcs	dh055	0	1
rbcs	dh056	1	0
rbcs	dh057	0	1
rbcs	dh058	0	1
rbcs	dh059	0	1
rbcs	dh060	1	0
rbcs	dh061	1	0
rbcs	dh062	1	0
rbcs	dh063	1	0
rbcs	dh064	1	0
rbcs	dh065	0	1
rbcs	dh066	1	0
rbcs	dh067	0	1
rbcs	dh068	1	0
rbcs	dh069	0	1
rbcs	dh070	0	1
rbcs	dh071	1	0
rbcs	dh072	1	0
rbcs	dh073	1	0
rbcs	dh074	1	0
rbcs	dh075	1	0
rbcs	dh076	0	1
rbcs	dh077	1	0
rbcs	dh078	0	1
rbcs	dh079	0	1
rbcs	dh080	1	0
rbcs	dh081	1	0
rbcs	dh082	0	1
rbcs	dh083	1	0
rbcs	dh084	0	1
rbcs	dh085	1	0
rbcs	dh086	1	0
rbcs	dh087	0	1
rbcs	dh088	1	0
rbcs	dh089	1	0
rbcs	dh090	0	1
rbcs	dh091	1	0
rbcs	dh092	1	0
rbcs	dh093	0	1
rbcs	dh094	1	0
rbcs	dh095	0	1
rbcs	dh096	0	1
rbcs	dh097	1	0
rbcs	dh098	0	1
rbcs	dh099	0	1
rbcs	dh100	0	1
rbcs	dh101	1	0
rbcs	dh102	0	1
rbcs	dh103	0	1
rbcs	dh104	0	1
rbcs	dh105	0	1
rbcs	dh106	1	0
rbcs	dh107	0	1
rbcs	dh108	0	1
rbcs	dh109	0	1
rbcs	dh110	1	0
rbcs	dh111	1	0
rbcs	dh112	0	1
rbcs	dh113	0	1
rbcs	dh114	1	0
rbcs	dh115	1	0
rbcs	dh116	1	0
rbcs	dh117	1	0
rbcs	dh118	1	0
rbcs	dh119	1	0
rbcs	dh120	1	0
rbcs	dh121	0	1
rbcs	dh122	1	0
rbcs	dh123	1	0
rbcs	dh124	1	0
rbcs	dh125	0	1
rbcs	dh126	1	0
rbcs	dh127	1	0
rbcs	dh128	0	1
rbcs	dh129	0	1
rbcs	dh130	0	1
rbcs	dh131	1	0
rbcs	dh132	1	0
rbcs	dh133	0	1
rbcs	dh134	1	0
rbcs	dh135	1	0
rbcs	dh136	0	1
rbcs	dh137	1	0
rbcs	dh138	1	0
rbcs	dh139	1	0
rbcs	dh140	1	0
rbcs	dh141	1	0
rbcs	dh142	1	0
rbcs	dh143	0	1
rbcs	dh144	1	0
rbcs	dh145	0	1
rbcs	dh146	0	1
rbcs	dh147	0	1
rbcs	dh148	0	1
rbcs	dh149	1	0
rbcs	dh150	1	0
abg2	dh001	0	1
abg2	dh002	1	0
abg2	dh003	1	0
abg2	dh004	0	1
abg2	dh005	1	0
abg2	dh006	0	1
abg2	dh007	0	1
abg2	dh008	1	0
abg2	dh009	0	1
abg2	dh010	0	1
abg2	dh011	1	0
abg2	dh012	0	1
abg2	dh013	1	0
abg2	dh014	0	1
abg2	dh015	1	0
abg2	dh016	0	1
abg2	dh017	0	1
abg2	dh018	1	0
abg2	dh019	0	1
abg2	dh020	0	1
abg2	dh021	1	0
abg2	dh022	1	0
abg2	dh023	0	1
abg2	dh024	0	1
abg2	dh025	0	1
abg2	dh026	0	1
abg2	dh027	0	1
abg2	dh028	1	0
abg2	dh029	1	0
abg2	dh030	1	0
abg2	dh031	0	1
abg2	dh032	0	1
abg2	dh033	0	1
abg2	dh034	1	0
abg2	dh035	1	0
abg2	dh036	1	0
abg2	dh037	1	0
abg2	dh038	1	0
abg2	dh039	0	1
abg2	dh040	0	1
abg2	dh041	0	1
abg2	dh042	0	1
abg2	dh043	0	1
abg2	dh044	0	1
abg2	dh045	1	0
abg2	dh046	1	0
abg2	dh047	0	1
abg2	dh048	1	0
abg2	dh049	0	1
abg2	dh050	0	1
abg2	dh051	1	0
abg2	dh052	1	0
abg2	dh053	1	0
abg2	dh054	1	0
abg2	dh055	0	1
abg2	dh056	1	0
abg2	dh057	0	1
abg2	dh058	0	1
abg2	dh059	0	1
abg2	dh060	1	0
abg2	dh061	1	0
abg2	dh062	0	1
abg2	dh063	1	0
abg2	dh064	1	0
abg2	dh065	0	1
abg2	dh066	1	0
abg2	dh067	0	1
abg2	dh068	1	0
abg2	dh069	0	1
abg2	dh070	0	1
abg2	dh071	0	1
abg2	dh072	1	0
abg2	dh073	1	0
abg2	dh074	1	0
abg2	dh075	0	1
abg2	dh076	0	1
abg2	dh077	1	0
abg2	dh078	0	1
abg2	dh079	0	1
abg2	dh080	1	0
abg2	dh081	1	0
abg2	dh082	1	0
abg2	dh083	1	0
abg2	dh084	0	1
abg2	dh085	0	1
abg2	dh086	1	0
abg2	dh087	0	1
abg2	dh088	1	0
abg2	dh089	1	0
abg2	dh090	0	1
abg2	dh091	0	1
abg2	dh092	1	0
abg2	dh093	0	1
abg2	dh094	1	0
abg2	dh095	0	1
abg2	dh096	0	1
abg2	dh097	1	0
abg2	dh098	0	1
abg2	dh099	0	1
abg2	dh100	0	1
abg2	dh101	1	0
abg2	dh102	0	1
abg2	dh103	0	1
abg2	dh104	0	1
abg2	dh105	0	1
abg2	dh106	1	0
abg2	dh107	1	0
abg2	dh108	0	1
abg2	dh109	1	0
abg2	dh110	1	0
abg2	dh111	0	1
abg2	dh112	1	0
abg2	dh113	0	1
abg2	dh114	1	0
abg2	dh115	1	0
abg2	dh116	1	0
abg2	dh117	1	0
abg2	dh118	1	0
abg2	dh119	1	0
abg2	dh120	1	0
abg2	dh121	0	1
abg2	dh122	1	0
abg2	dh123	1	0
abg2	dh124	1	0
abg2	dh125	0	1
abg2	dh126	1	0
abg2	dh127	1	0
abg2	dh128	0	1
abg2	dh129	0	1
abg2	dh130	0	1
abg2	dh131	1	0
abg2	dh132	1	0
abg2	dh133	0	1
abg2	dh134	1	0
abg2	dh135	1	0
abg2	dh136	0	1
abg2	dh137	1	0
abg2	dh138	1	0
abg2	dh139	1	0
abg2	dh140	1	0
abg2	dh141	1	0
abg2	dh142	1	0
abg2	dh143	0	1
abg2	dh144	1	0
abg2	dh145	0	1
abg2	dh146	0	1
abg2	dh147	1	0
abg2	dh148	0	1
abg2	dh149	1	0
abg2	dh150	1	0
abg459	dh001	0	1
abg459	dh002	1	0
abg459	dh003	1	0
abg459	dh004	0	1
abg459	dh005	1	0
abg459	dh006	0	1
abg459	dh007	0	1
abg459	dh008	1	0
abg459	dh009	0	1
abg459	dh010	0	1
abg459	dh011	1	0
abg459	dh012	0	1
abg459	dh013	1	0
abg459	dh014	0	1
abg459	dh015	1	0
abg459	dh016	0	1
abg459	dh017	0	1
abg459	dh018	1	0
abg459	dh019	0	1
abg459	dh020	1	0
abg459	dh021	1	0
abg459	dh022	1	0
abg459	dh023	1	0
abg459	dh024	0	1
abg459	dh025	0	1
abg459	dh026	0	1
abg459	dh027	0	1
abg459	dh028	1	0
abg459	dh029	1	0
abg459	dh030	1	0
abg459	dh031	0	1
abg459	dh032	0	1
abg459	dh033	1	0
abg459	dh034	1	0
abg459	dh035	1	0
abg459	dh036	1	0
abg459	dh037	1	0
abg459	dh038	1	0
abg459	dh039	0	1
abg459	dh040	0	1
abg459	dh041	0	1
abg459	dh042	0	1
abg459	dh043	0	1
abg459	dh044	0	1
abg459	dh045	1	0
abg459	dh046	1	0
abg459	dh047	1	0
abg459	dh048	1	0
abg459	dh049	0	1
abg459	dh050	0	1
abg459	dh051	1	0
abg459	dh052	1	0
abg459	dh053	1	0
abg459	dh054	1	0
abg459	dh055	0	1
abg459	dh056	1	0
abg459	dh057	0	1
abg459	dh058	0	1
abg459	dh059	0	1
abg459	dh060	1	0
abg459	dh061	1	0
abg459	dh062	0	1
abg459	dh063	1	0
abg459	dh064	1	0
abg459	dh065	0	1
abg459	dh066	1	0
abg459	dh067	0	1
abg459	dh068	0	1
abg459	dh069	0	1
abg459	dh070	0	1
abg459	dh071	0	1
abg459	dh072	1	0
abg459	dh073	1	0
abg459	dh074	1	0
abg459	dh075	1	0
abg459	dh076	0	1
abg459	dh077	1	0
abg459	dh078	0	1
abg459	dh079	1	0
abg459	dh080	1	0
abg459	dh081	1	0
abg459	dh082	1	0
abg459	dh083	1	0
abg459	dh084	0	1
abg459	dh085	0	1
abg459	dh086	1	0
abg459	dh087	0	1
abg459	dh088	1	0
abg459	dh089	0	1
abg459	dh090	0	1
abg459	dh091	0	1
abg459	dh092	1	0
abg459	dh093	0	1
abg459	dh094	1	0
abg459	dh095	0	1
abg459	dh096	0	1
abg459	dh097	1	0
abg459	dh098	0	1
abg459	dh099	0	1
abg459	dh100	0	1
abg459	dh101	1	0
abg459	dh102	0	1
abg459	dh103	0	1
abg459	dh104	0	1
abg459	dh105	0	1
abg459	dh106	0	1
abg459	dh107	1	0
abg459	dh108	1	0
abg459	dh109	1	0
abg459	dh110	1	0
abg459	dh111	0	1
abg459	dh112	1	0
abg459	dh113	0	1
abg459	dh114	1	0
abg459	dh115	1	0
abg459	dh116	1	0
abg459	dh117	1	0
abg459	dh118	1	0
abg459	dh119	1	0
abg459	dh120	1	0
abg459	dh121	0	1
abg459	dh122	1	0
abg459	dh123	1	0
abg459	dh124	1	0
abg459	dh125	0	1
abg459	dh126	1	0
abg459	dh127	1	0
abg459	dh128	0	1
abg459	dh129	0	1
abg459	dh130	0	1
abg459	dh131	1	0
abg459	dh132	1	0
abg459	dh133	0	1
abg459	dh134	1	0
abg459	dh135	1	0
abg459	dh136	0	1
abg459	dh137	0	1
abg459	dh138	1	0
abg459	dh139	1	0
abg459	dh140	1	0
abg459	dh141	1	0
abg459	dh142	1	0
abg459	dh143	0	1
abg459	dh144	1	0
abg459	dh145	0	1
abg459	dh146	0	1
abg459	dh147	1	0
abg459	dh148	1	0
abg459	dh149	1	0
abg459	dh150	1	0
pox	dh001	0	1
pox	dh002	1	0
pox	dh003	1	0
pox	dh004	0	1
pox	dh005	1	0
pox	dh006	0	1
pox	dh007	0	1
pox	dh008	1	0
pox	dh009	1	0
pox	dh010	0	1
pox	dh011	1	0
pox	dh012	0	1
pox	dh013	1	0
pox	dh014	0	1
pox	dh015	1	0
pox	dh016	0	1
pox	dh017	0	1
pox	dh018	1	0
pox	dh019	0	1
pox	dh020	1	0
pox	dh021	1	0
pox	dh022	1	0
pox	dh023	1	0
pox	dh024	0	1
pox	dh025	0	1
pox	dh026	0	1
pox	dh027	0	1
pox	dh028	1	0
pox	dh029	1	0
pox	dh030	1	0
pox	dh031	0	1
pox	dh032	0	1
pox	dh033	1	0
pox	dh034	1	0
pox	dh035	1	0
pox	dh036	1	0
pox	dh037	0	1
pox	dh038	1	0
pox	dh039	0	1
pox	dh040	0	1
pox	dh041	0	1
pox	dh042	0	1
pox	dh043	0	1
pox	dh044	1	0
pox	dh045	1	0
pox	dh046	1	0
pox	dh047	1	0
pox	dh048	1	0
pox	dh049	0	1
pox	dh050	0	1
pox	dh051	1	0
pox	dh052	1	0
pox	dh053	1	0
pox	dh054	1	0
pox	dh055	0	1
pox	dh056	1	0
pox	dh057	0	1
pox	dh058	0	1
pox	dh059	0	1
pox	dh060	1	0
pox	dh061	1	0
pox	dh062	0	1
pox	dh063	1	0
pox	dh064	1	0
pox	dh065	0	1
pox	dh066	1	0
pox	dh067	0	1
pox	dh068	1	0
pox	dh069	0	1
pox	dh070	0	1
pox	dh071	0	1
pox	dh072	1	0
pox	dh073	1	0
pox	dh074	1	0
pox	dh075	0	1
pox	dh076	1	0
pox	dh077	1	0
pox	dh078	0	1
pox	dh079	1	0
pox	dh080	1	0
pox	dh081	1	0
pox	dh082	1	0
pox	dh083	1	0
pox	dh084	0	1
pox	dh085	0	1
pox	dh086	1	0
pox	dh087	0	1
pox	dh088	1	0
pox	dh089	0	1
pox	dh090	0	1
pox	dh091	0	1
pox	dh092	1	0
pox	dh093	0	1
pox	dh094	1	0
pox	dh095	0	1
pox	dh096	1	0
pox	dh097	0	1
pox	dh098	0	1
pox	dh099	0	1
pox	dh100	0	1
pox	dh101	0	1
pox	dh102	0	1
pox	dh103	0	1
pox	dh104	0	1
pox	dh105	0	1
pox	dh106	0	1
pox	dh107	1	0
pox	dh108	1	0
pox	dh109	1	0
pox	dh110	1	0
pox	dh111	0	1
pox	dh112	1	0
pox	dh113	0	1
pox	dh114	1	0
pox	dh115	1	0
pox	dh116	1	0
pox	dh117	1	0
pox	dh118	1	0
pox	dh119	1	0
pox	dh120	1	0
pox	dh121	0	1
pox	dh122	1	0
pox	dh123	1	0
pox	dh124	1	0
pox	dh125	0	1
pox	dh126	1	0
pox	dh127	1	0
pox	dh128	0	1
pox	dh129	0	1
pox	dh130	0	1
pox	dh131	0	1
pox	dh132	1	0
pox	dh133	0	1
pox	dh134	1	0
pox	dh135	1	0
pox	dh136	0	1
pox	dh137	0	1
pox	dh138	1	0
pox	dh139	1	0
pox	dh140	1	0
pox	dh141	1	0
pox	dh142	1	0
pox	dh143	0	1
pox	dh144	1	0
pox	dh145	0	1
pox	dh146	0	1
pox	dh147	1	0
pox	dh148	1	0
pox	dh149	1	0
pox	dh150	1	0
adh8	dh001	0	1
adh8	dh002	1	0
adh8	dh003	1	0
adh8	dh004	0	1
adh8	dh005	1	0
adh8	dh006	0	1
adh8	dh007	0	1
adh8	dh008	1	0
adh8	dh009	1	0
adh8	dh010	0	1
adh8	dh011	1	0
adh8	dh012	0	1
adh8	dh013	1	0
adh8	dh014	1	0
adh8	dh015	0	1
adh8	dh016	1	0
adh8	dh017	1	0
adh8	dh018	1	0
adh8	dh019	0	1
adh8	dh020	1	0
adh8	dh021	1	0
adh8	dh022	1	0
adh8	dh023	1	0
adh8	dh024	0	1
adh8	dh025	0	1
adh8	dh026	0	1
adh8	dh027	0	1
adh8	dh028	1	0
adh8	dh029	1	0
adh8	dh030	1	0
adh8	dh031	0	1
adh8	dh032	0	1
adh8	dh033	1	0
adh8	dh034	1	0
adh8	dh035	1	0
adh8	dh036	1	0
adh8	dh037	0	1
adh8	dh038	1	0
adh8	dh039	0	1
adh8	dh040	0	1
adh8	dh041	0	1
adh8	dh042	0	1
adh8	dh043	0	1
adh8	dh044	1	0
adh8	dh045	1	0
adh8	dh046	1	0
adh8	dh047	1	0
adh8	dh048	1	0
adh8	dh049	1	0
adh8	dh050	0	1
adh8	dh051	1	0
adh8	dh052	1	0
adh8	dh053	1	0
adh8	dh054	1	0
adh8	dh055	0	1
adh8	dh056	1	0
adh8	dh057	0	1
adh8	dh058	1	0
adh8	dh059	0	1
adh8	dh060	1	0
adh8	dh061	1	0
adh8	dh062	0	1
adh8	dh063	1	0
adh8	dh064	1	0
adh8	dh065	0	1
adh8	dh066	1	0
adh8	dh067	0	1
adh8	dh068	1	0
adh8	dh069	0	1
adh8	dh070	0	1
adh8	dh071	0	1
adh8	dh072	1	0
adh8	dh073	1	0
adh8	dh074	1	0
adh8	dh075	0	1
adh8	dh076	1	0
adh8	dh077	1	0
adh8	dh078	0	1
adh8	dh079	1	0
adh8	dh080	1	0
adh8	dh081	1	0
adh8	dh082	1	0
adh8	dh083	1	0
adh8	dh084	0	1
adh8	dh085	0	1
adh8	dh086	1	0
adh8	dh087	0	1
adh8	dh088	1	0
adh8	dh089	0	1
adh8	dh090	0	1
adh8	dh091	0	1
adh8	dh092	1	0
adh8	dh093	0	1
adh8	dh094	1	0
adh8	dh095	0	1
adh8	dh096	1	0
adh8	dh097	0	1
adh8	dh098	0	1
adh8	dh099	0	1
adh8	dh100	1	0
adh8	dh101	0	1
adh8	dh102	0	1
adh8	dh103	0	1
adh8	dh104	0	1
adh8	dh105	0	1
adh8	dh106	0	1
adh8	dh107	1	0
adh8	dh108	1	0
adh8	dh109	1	0
adh8	dh110	1	0
adh8	dh111	0	1
adh8	dh112	1	0
adh8	dh113	0	1
adh8	dh114	1	0
adh8	dh115	1	0
adh8	dh116	1	0
adh8	dh117	1	0
adh8	dh118	1	0
adh8	dh119	0	1
adh8	dh120	1	0
adh8	dh121	0	1
adh8	dh122	1	0
adh8	dh123	1	0
adh8	dh124	1	0
adh8	dh125	0	1
adh8	dh126	1	0
adh8	dh127	1	0
adh8	dh128	0	1
adh8	dh129	0	1
adh8	dh130	0	1
adh8	dh131	0	1
adh8	dh132	1	0
adh8	dh133	0	1
adh8	dh134	1	0
adh8	dh135	1	0
adh8	dh136	0	1
adh8	dh137	0	1
adh8	dh138	1	0
adh8	dh139	1	0
adh8	dh140	1	0
adh8	dh141	1	0
adh8	dh142	1	0
adh8	dh143	0	1
adh8	dh144	1	0
adh8	dh145	0	1
adh8	dh146	0	1
adh8	dh147	1	0
adh8	dh148	1	0
adh8	dh149	1	0
adh8	dh150	1	0
abg19	dh001	0	1
abg19	dh002	1	0
abg19	dh003	1	0
abg19	dh004	0	1
abg19	dh005	1	0
abg19	dh006	0	1
abg19	dh007	1	0
abg19	dh008	1	0
abg19	dh009	1	0
abg19	dh010	0	1
abg19	dh011	1	0
abg19	dh012	0	1
abg19	dh013	1	0
abg19	dh014	0	1
abg19	dh015	1	0
abg19	dh016	0	1
abg19	dh017	1	0
abg19	dh018	1	0
abg19	dh019	1	0
abg19	dh020	1	0
abg19	dh021	0	1
abg19	dh022	1	0
abg19	dh023	1	0
abg19	dh024	1	0
abg19	dh025	1	0
abg19	dh026	0	1
abg19	dh027	0	1
abg19	dh028	1	0
abg19	dh029	1	0
abg19	dh030	1	0
abg19	dh031	0	1
abg19	dh032	0	1
abg19	dh033	1	0
abg19	dh034	1	0
abg19	dh035	0	1
abg19	dh036	1	0
abg19	dh037	0	1
abg19	dh038	1	0
abg19	dh039	1	0
abg19	dh040	0	1
abg19	dh041	0	1
abg19	dh042	0	1
abg19	dh043	0	1
abg19	dh044	1	0
abg19	dh045	1	0
abg19	dh046	1	0
abg19	dh047	1	0
abg19	dh048	0	1
abg19	dh049	1	0
abg19	dh050	0	1
abg19	dh051	1	0
abg19	dh052	1	0
abg19	dh053	1	0
abg19	dh054	1	0
abg19	dh055	0	1
abg19	dh056	1	0
abg19	dh057	0	1
abg19	dh058	1	0
abg19	dh059	1	0
abg19	dh060	0	1
abg19	dh061	1	0
abg19	dh062	0	1
abg19	dh063	0	1
abg19	dh064	1	0
abg19	dh065	0	1
abg19	dh066	1	0
abg19	dh067	0	1
abg19	dh068	1	0
abg19	dh069	0	1
abg19	dh070	0	1
abg19	dh071	0	1
abg19	dh072	0	1
abg19	dh073	1	0
abg19	dh074	1	0
abg19	dh075	0	1
abg19	dh076	1	0
abg19	dh077	1	0
abg19	dh078	0	1
abg19	dh079	1	0
abg19	dh080	1	0
abg19	dh081	1	0
abg19	dh082	1	0
abg19	dh083	1	0
abg19	dh084	0	1
abg19	dh085	0	1
abg19	dh086	1	0
abg19	dh087	0	1
abg19	dh088	1	0
abg19	dh089	0	1
abg19	dh090	0	1
abg19	dh091	0	1
abg19	dh092	1	0
abg19	dh093	0	1
abg19	dh094	1	0
abg19	dh095	0	1
abg19	dh096	1	0
abg19	dh097	0	1
abg19	dh098	0	1
abg19	dh099	0	1
abg19	dh100	1	0
abg19	dh101	0	1
abg19	dh102	1	0
abg19	dh103	0	1
abg19	dh104	0	1
abg19	dh105	0	1
abg19	dh106	0	1
abg19	dh107	1	0
abg19	dh108	1	0
abg19	dh109	1	0
abg19	dh110	1	0
abg19	dh111	0	1
abg19	dh112	1	0
abg19	dh113	0	1
abg19	dh114	1	0
abg19	dh115	1	0
abg19	dh116	1	0
abg19	dh117	1	0
abg19	dh118	1	0
abg19	dh119	1	0
abg19	dh120	1	0
abg19	dh121	0	1
abg19	dh122	1	0
abg19	dh123	1	0
abg19	dh124	1	0
abg19	dh125	1	0
abg19	dh126	1	0
abg19	dh127	1	0
abg19	dh128	0	1
abg19	dh129	1	0
abg19	dh130	0	1
abg19	dh131	0	1
abg19	dh132	1	0
abg19	dh133	0	1
abg19	dh134	1	0
abg19	dh135	1	0
abg19	dh136	0	1
abg19	dh137	0	1
abg19	dh138	1	0
abg19	dh139	0	1
abg19	dh140	1	0
abg19	dh141	1	0
abg19	dh142	1	0
abg19	dh143	0	1
abg19	dh144	1	0
abg19	dh145	0	1
abg19	dh146	0	1
abg19	dh147	1	0
abg19	dh148	1	0
abg19	dh149	1	0
abg19	dh150	1	0
abc162	dh001	0	1
abc162	dh002	1	0
abc162	dh003	1	0
abc162	dh004	0	1
abc162	dh005	1	0
abc162	dh006	0	1
abc162	dh007	1	0
abc162	dh008	1	0
abc162	dh009	1	0
abc162	dh010	0	1
abc162	dh011	1	0
abc162	dh012	0	1
abc162	dh013	1	0
abc162	dh014	0	1
abc162	dh015	1	0
abc162	dh016	0	1
abc162	dh017	1	0
abc162	dh018	0	1
abc162	dh019	1	0
abc162	dh020	1	0
abc162	dh021	0	1
abc162	dh022	1	0
abc162	dh023	1	0
abc162	dh024	1	0
abc162	dh025	1	0
abc162	dh026	0	1
abc162	dh027	0	1
abc162	dh028	1	0
abc162	dh029	1	0
abc162	dh030	0	1
abc162	dh031	0	1
abc162	dh032	0	1
abc162	dh033	1	0
abc162	dh034	1	0
abc162	dh035	0	1
abc162	dh036	1	0
abc162	dh037	0	1
abc162	dh038	1	0
abc162	dh039	1	0
abc162	dh040	0	1
abc162	dh041	0	1
abc162	dh042	0	1
abc162	dh043	0	1
abc162	dh044	1	0
abc162	dh045	1	0
abc162	dh046	1	0
abc162	dh047	1	0
abc162	dh048	0	1
abc162	dh049	1	0
abc162	dh050	0	1
abc162	dh051	1	0
abc162	dh052	1	0
abc162	dh053	1	0
abc162	dh054	1	0
abc162	dh055	0	1
abc162	dh056	1	0
abc162	dh057	0	1
abc162	dh058	1	0
abc162	dh059	1	0
abc162	dh060	0	1
abc162	dh061	1	0
abc162	dh062	0	1
abc162	dh063	0	1
abc162	dh064	1	0
abc162	dh065	0	1
abc162	dh066	1	0
abc162	dh067	0	1
abc162	dh068	1	0
abc162	dh069	0	1
abc162	dh070	0	1
abc162	dh071	0	1
abc162	dh072	0	1
abc162	dh073	0	1
abc162	dh074	1	0
abc162	dh075	0	1
abc162	dh076	1	0
abc162	dh077	1	0
abc162	dh078	0	1
abc162	dh079	1	0
abc162	dh080	0	1
abc162	dh081	1	0
abc162	dh082	1	0
abc162	dh083	1	0
abc162	dh084	0	1
abc162	dh085	0	1
abc162	dh086	1	0
abc162	dh087	0	1
abc162	dh088	1	0
abc162	dh089	0	1
abc162	dh090	0	1
abc162	dh091	1	0
abc162	dh092	1	0
abc162	dh093	0	1
abc162	dh094	1	0
abc162	dh095	0	1
abc162	dh096	1	0
abc162	dh097	0	1
abc162	dh098	0	1
abc162	dh099	0	1
abc162	dh100	1	0
abc162	dh101	0	1
abc162	dh102	1	0
abc162	dh103	0	1
abc162	dh104	0	1
abc162	dh105	0	1
abc162	dh106	0	1
abc162	dh107	1	0
abc162	dh108	1	0
abc162	dh109	1	0
abc162	dh110	1	0
abc162	dh111	0	1
abc162	dh112	1	0
abc162	dh113	0	1
abc162	dh114	1	0
abc162	dh115	1	0
abc162	dh116	1	0
abc162	dh117	1	0
abc162	dh118	1	0
abc162	dh119	1	0
abc162	dh120	1	0
abc162	dh121	0	1
abc162	dh122	1	0
abc162	dh123	1	0
abc162	dh124	1	0
abc162	dh125	1	0
abc162	dh126	1	0
abc162	dh127	0	1
abc162	dh128	0	1
abc162	dh129	1	0
abc162	dh130	0	1
abc162	dh131	0	1
abc162	dh132	1	0
abc162	dh133	0	1
abc162	dh134	1	0
abc162	dh135	1	0
abc162	dh136	0	1
abc162	dh137	0	1
abc162	dh138	1	0
abc162	dh139	0	1
abc162	dh140	1	0
abc162	dh141	0	1
abc162	dh142	1	0
abc162	dh143	0	1
abc162	dh144	1	0
abc162	dh145	0	1
abc162	dh146	0	1
abc162	dh147	1	0
abc162	dh148	1	0
abc162	dh149	1	0
abc162	dh150	0	1
his3c	dh001	1	0
his3c	dh002	1	0
his3c	dh003	1	0
his3c	dh004	0	1
his3c	dh005	1	0
his3c	dh006	0	1
his3c	dh007	1	0
his3c	dh008	1	0
his3c	dh009	0	1
his3c	dh010	0	1
his3c	dh011	1	0
his3c	dh012	0	1
his3c	dh013	1	0
his3c	dh014	0	1
his3c	dh015	1	0
his3c	dh016	0	1
his3c	dh017	1	0
his3c	dh018	0	1
his3c	dh019	1	0
his3c	dh020	1	0
his3c	dh021	1	0
his3c	dh022	1	0
his3c	dh023	1	0
his3c	dh024	0	1
his3c	dh025	0	1
his3c	dh026	0	1
his3c	dh027	0	1
his3c	dh028	1	0
his3c	dh029	1	0
his3c	dh030	0	1
